"alpha1","alpha2","alpha3"
2.98373771943426,-1.73624910536936,3.71910594355301
2.98412349106288,-1.61803398874989,3.80422606518061
2.98443568712743,-1.49737977432971,3.87433264451452
2.98467636856482,-1.37476262917145,3.92914900291475
2.98484713857553,-1.25066646712861,3.96845880525791
2.98494914243504,-1.12558103905863,3.99210691371309
2.98498306736111,-1,4
2.98494914243504,-0.874418960941373,3.99210691371309
2.98484713857553,-0.749333532871391,3.96845880525791
2.98467636856482,-0.62523737082855,3.92914900291475
2.98443568712743,-0.50262022567029,3.87433264451452
2.98412349106288,-0.381966011250105,3.80422606518061
2.98373771943426,-0.263750894630643,3.71910594355301
2.98327585381568,-0.148441416869854,3.61930820986408
2.98273491860218,-0.03649265179657,3.50522672017545
2.98211148138663,0.0716535899579929,3.37731170200806
2.98140165340902,0.175570504584946,3.23606797749979
2.98060109008418,0.274847979497379,3.08205297110316
2.97970499161489,0.369094211857377,2.91587450968565
2.97870810369828,0.457937254842823,2.73818842371475
2.97760471833393,0.541026485551579,2.54969595899476
2.97638867474311,0.618033988749895,2.35114100916989
2.97505336040943,0.68865585100403,2.14330717991599
2.97359171225179,0.752613360087727,1.92701469640686
2.97199621794142,0.809654104932039,1.70311716626029
2.97025891737571,0.859552971776503,1.47249821073871
2.96837140432203,0.902113032590307,1.23606797749979
2.9663248282458,0.937166322257262,0.99475954865942
2.96410989633775,0.964574501457377,0.7495252583429
2.96171687575593,0.984229402628956,0.501332934257218
2.95913559609911,0.996053456856543,0.251162078117254
2.95635545212857,1,2.44929359829471e-16
2.95336540675643,0.996053456856543,-0.251162078117254
2.95015399431897,0.984229402628956,-0.501332934257217
2.9467093241545,0.964574501457377,-0.749525258342899
2.94301908450579,0.937166322257262,-0.994759548659419
2.93907054676776,0.902113032590307,-1.23606797749979
2.93485057010204,0.859552971776503,-1.47249821073871
2.93034560644032,0.809654104932039,-1.70311716626029
2.92554170589922,0.752613360087727,-1.92701469640686
2.92500079279234,-2.6180339887499,-2.35114100916989
2.93011372094561,-2.68865585100403,-2.14330717991599
2.93490769714666,-2.75261336008773,-1.92701469640686
2.93939752447369,-2.80965410493204,-1.70311716626029
2.94359761171067,-2.8595529717765,-1.47249821073871
2.94752196727055,-2.90211303259031,-1.23606797749979
2.95118419357138,-2.93716632225726,-0.994759548659419
2.95459748184115,-2.96457450145738,-0.749525258342899
2.95777460732802,-2.98422940262896,-0.501332934257217
2.96072792489297,-2.99605345685654,-0.251162078117254
2.96346936496279,-3,2.44929359829471e-16
2.96601042982167,-2.99605345685654,0.251162078117254
2.96836219022079,-2.98422940262896,0.501332934257218
2.97053528228544,-2.96457450145738,0.7495252583429
2.97253990470043,-2.93716632225726,0.994759548659419
2.9743858161549,-2.90211303259031,1.23606797749979
2.97608233302864,-2.8595529717765,1.47249821073871
2.97763832730251,-2.80965410493204,1.70311716626029
2.97906222467659,-2.75261336008773,1.92701469640686
2.98036200288022,-2.68865585100403,2.14330717991599
2.98154519015904,-2.61803398874989,2.35114100916989
2.98261886392474,-2.54102648555158,2.54969595899476
2.98358964955418,-2.45793725484282,2.73818842371475
2.98446371932534,-2.36909421185738,2.91587450968565
2.98524679147807,-2.27484797949738,3.08205297110316
2.98594412938884,-2.17557050458495,3.23606797749979
2.98656054084918,-2.07165358995799,3.37731170200806
2.98710037743842,-1.96350734820343,3.50522672017545
2.98756753398208,-1.85155858313015,3.61930820986408
2.98796544808829,-1.73624910536936,3.71910594355301
2.98829709975506,-1.61803398874989,3.80422606518061
2.98856501104244,-1.49737977432971,3.87433264451452
2.98877124580408,-1.37476262917145,3.92914900291475
2.98891740947381,-1.25066646712861,3.96845880525791
2.98900464890347,-1.12558103905863,3.99210691371309
2.98903365224909,-1,4
2.98900464890347,-0.874418960941373,3.99210691371309
2.98891740947381,-0.749333532871391,3.96845880525791
2.98877124580408,-0.62523737082855,3.92914900291475
2.98856501104244,-0.50262022567029,3.87433264451452
2.98829709975506,-0.381966011250105,3.80422606518061
2.98796544808829,-0.263750894630643,3.71910594355301
2.98756753398208,-0.148441416869854,3.61930820986408
2.98710037743842,-0.03649265179657,3.50522672017545
2.98656054084918,0.0716535899579929,3.37731170200806
2.98594412938884,0.175570504584946,3.23606797749979
2.98524679147807,0.274847979497379,3.08205297110316
2.98446371932534,0.369094211857377,2.91587450968565
2.98358964955418,0.457937254842823,2.73818842371475
2.98261886392474,0.541026485551579,2.54969595899476
2.98154519015904,0.618033988749895,2.35114100916989
2.98036200288022,0.68865585100403,2.14330717991599
2.97906222467659,0.752613360087727,1.92701469640686
2.97763832730251,0.809654104932039,1.70311716626029
2.97608233302864,0.859552971776503,1.47249821073871
2.9743858161549,0.902113032590307,1.23606797749979
2.97253990470043,0.937166322257262,0.99475954865942
2.97053528228544,0.964574501457377,0.7495252583429
2.96836219022079,0.984229402628956,0.501332934257218
2.96601042982167,0.996053456856543,0.251162078117254
2.96346936496279,1,2.44929359829471e-16
2.96072792489297,0.996053456856543,-0.251162078117254
2.95777460732802,0.984229402628956,-0.501332934257217
2.95459748184115,0.964574501457377,-0.749525258342899
2.95118419357138,0.937166322257262,-0.994759548659419
2.94752196727055,0.902113032590307,-1.23606797749979
2.94359761171067,0.859552971776503,-1.47249821073871
2.93939752447369,0.809654104932039,-1.70311716626029
2.93490769714666,0.752613360087727,-1.92701469640686
2.93011372094561,0.68865585100403,-2.14330717991599
2.92500079279234,0.618033988749895,-2.35114100916989
2.92308045103279,-2.45793725484282,-2.73818842371475
2.92855348737151,-2.54102648555158,-2.54969595899476
2.9336850906066,-2.6180339887499,-2.35114100916989
2.93849090078385,-2.68865585100403,-2.14330717991599
2.94298617262143,-2.75261336008773,-1.92701469640686
2.94718576867842,-2.80965410493204,-1.70311716626029
2.95110415302061,-2.8595529717765,-1.47249821073871
2.95475538535858,-2.90211303259031,-1.23606797749979
2.95815311563286,-2.93716632225726,-0.994759548659419
2.96131057902239,-2.96457450145738,-0.749525258342899
2.96424059135235,-2.98422940262896,-0.501332934257217
2.96695554487854,-2.99605345685654,-0.251162078117254
2.96946740442606,-3,2.44929359829471e-16
2.97178770386043,-2.99605345685654,0.251162078117254
2.97392754287041,-2.98422940262896,0.501332934257218
2.9758975840421,-2.96457450145738,0.7495252583429
2.97770805020486,-2.93716632225726,0.994759548659419
2.97936872203018,-2.90211303259031,1.23606797749979
2.98088893586554,-2.8595529717765,1.47249821073871
2.9822775817857,-2.80965410493204,1.70311716626029
2.9835431018452,-2.75261336008773,1.92701469640686
2.98469348851594,-2.68865585100403,2.14330717991599
2.98573628329508,-2.61803398874989,2.35114100916989
2.98667857546894,-2.54102648555158,2.54969595899476
2.98752700101939,-2.45793725484282,2.73818842371475
2.98828774166026,-2.36909421185738,2.91587450968565
2.98896652399177,-2.27484797949738,3.08205297110316
2.98956861876202,-2.17557050458495,3.23606797749979
2.99009884022531,-2.07165358995799,3.37731170200806
2.99056154558785,-1.96350734820343,3.50522672017545
2.99096063453226,-1.85155858313015,3.61930820986408
