"beta1","beta2","beta3"
-2.50742208410481,0.996053456856543,1.96856595685654
-2.50742208410481,1,1.9521125
-2.50742208410481,0.996053456856543,1.92856595685654
-2.50742208410481,0.984229402628956,1.89794190262896
-2.50742208410481,0.964574501457377,1.86028700145738
-2.50742208410481,0.937166322257262,1.81567882225726
-2.50742208410481,0.902113032590307,1.76422553259031
-2.50742208410481,0.859552971776503,1.7060654717765
-2.50742208410481,0.809654104932039,1.64136660493204
-2.50742208410481,0.752613360087727,1.57032586008773
-2.50742208410481,0.68865585100403,1.49316835100403
-2.50742208410481,0.618033988749895,1.41014648874989
-2.50742208410481,0.541026485551579,1.32153898555158
-2.50742208410481,0.457937254842823,1.22764975484282
-2.50742208410481,0.369094211857377,1.12880671185738
-2.50742208410481,0.274847979497379,1.02536047949738
-2.50742208410481,0.175570504584946,0.917683004584946
-2.50742208410481,0.0716535899579933,0.806166089957993
-2.50742208410481,-0.0364926517965696,0.69121984820343
-2.50742208410481,-0.148441416869855,0.573271083130145
-2.50742208410481,-0.263750894630645,0.452761605369355
-2.50742208410481,-0.381966011250106,0.330146488749894
-2.50742208410481,-0.50262022567029,0.20589227432971
-2.50742208410481,-0.62523737082855,0.0804751291714498
-2.50742208410481,-0.749333532871391,-0.045621032871391
-2.50742208410481,-0.874418960941373,-0.171906460941373
-2.50742208410481,-1,-0.2978875
-2.50742208410481,-1.12558103905863,-0.423068539058627
-2.50742208410481,-1.25066646712861,-0.546953967128609
-2.50742208410481,-1.37476262917145,-0.66905012917145
-2.50742208410481,-1.49737977432971,-0.78886727432971
-2.71448115739806,-1.73624910536936,0.167950894630644
-2.71448115739806,-1.61803398874989,0.241766011250106
-2.71448115739806,-1.49737977432971,0.318820225670291
-2.71448115739806,-1.37476262917145,0.398637370828551
-2.71448115739806,-1.25066646712861,0.480733532871392
-2.71448115739806,-1.12558103905863,0.564618960941373
-2.71448115739806,-1,0.6498
-2.71448115739806,-0.874418960941373,0.735781039058627
-2.71448115739806,-0.749333532871391,0.822066467128609
-2.71448115739806,-0.62523737082855,0.90816262917145
-2.71448115739806,-0.502620225670291,0.99357977432971
-2.71448115739806,-0.381966011250105,1.0778339887499
-2.71448115739806,-0.263750894630644,1.16044910536936
-2.71448115739806,-0.148441416869855,1.24095858313015
-2.71448115739806,-0.0364926517965692,1.31890734820343
-2.71448115739806,0.0716535899579935,1.39385358995799
-2.71448115739806,0.175570504584947,1.46537050458495
-2.71448115739806,0.274847979497379,1.53304797949738
-2.71448115739806,0.369094211857377,1.59649421185738
-2.71448115739806,0.457937254842823,1.65533725484282
-2.71448115739806,0.541026485551579,1.70922648555158
-2.71448115739806,0.618033988749895,1.7578339887499
-2.71448115739806,0.68865585100403,1.80085585100403
-2.71448115739806,0.752613360087727,1.83801336008773
-2.71448115739806,0.809654104932039,1.86905410493204
-2.71448115739806,0.859552971776503,1.8937529717765
-2.71448115739806,0.902113032590307,1.91191303259031
-2.71448115739806,0.937166322257262,1.92336632225726
-2.71448115739806,0.964574501457377,1.92797450145738
-2.71448115739806,0.984229402628956,1.92562940262896
-2.71448115739806,0.996053456856543,1.91625345685654
-2.71448115739806,1,1.8998
-2.71448115739806,0.996053456856543,1.87625345685654
-2.71448115739806,0.984229402628956,1.84562940262896
-2.71448115739806,0.964574501457377,1.80797450145738
-2.71448115739806,0.937166322257262,1.76336632225726
-2.71448115739806,0.902113032590307,1.71191303259031
-2.71448115739806,0.859552971776503,1.6537529717765
-2.71448115739806,0.809654104932039,1.58905410493204
-2.71448115739806,0.752613360087727,1.51801336008773
-2.71448115739806,0.68865585100403,1.44085585100403
-2.71448115739806,0.618033988749895,1.3578339887499
-2.71448115739806,0.541026485551579,1.26922648555158
-2.71448115739806,0.457937254842823,1.17533725484282
-2.71448115739806,0.369094211857377,1.07649421185738
-2.71448115739806,0.274847979497379,0.973047979497379
-2.71448115739806,0.175570504584946,0.865370504584946
-2.71448115739806,0.0716535899579933,0.753853589957993
-2.71448115739806,-0.0364926517965696,0.638907348203431
-2.71448115739806,-0.148441416869855,0.520958583130145
-2.71448115739806,-0.263750894630645,0.400449105369356
-2.71448115739806,-0.381966011250106,0.277833988749894
-2.71448115739806,-0.50262022567029,0.15357977432971
-2.71448115739806,-0.62523737082855,0.0281626291714501
-2.71448115739806,-0.749333532871391,-0.0979335328713908
-2.71448115739806,-0.874418960941373,-0.224218960941373
-2.71448115739806,-1,-0.3502
