"alpha1","alpha2","alpha3","beta1","beta2","beta3"
2.9526475834317,-2.90211303259031,1.23606797749979,-2.50742208410481,-0.381966011250105,1.1301464887499
2.95496061790514,-2.8595529717765,1.47249821073871,-2.50742208410481,-0.263750894630644,1.21276160536936
2.95710189353677,-2.80965410493204,1.70311716626029,-2.50742208410481,-0.148441416869855,1.29327108313015
2.95907976658694,-2.75261336008773,1.92701469640686,-2.50742208410481,-0.0364926517965692,1.37121984820343
2.96090215164331,-2.68865585100403,2.14330717991599,-2.50742208410481,0.0716535899579935,1.44616608995799
2.96257651968582,-2.61803398874989,2.35114100916989,-2.50742208410481,0.175570504584947,1.51768300458495
2.96410989633775,-2.54102648555158,2.54969595899476,-2.50742208410481,0.274847979497379,1.58536047949738
2.96550886028992,-2.45793725484282,2.73818842371475,-2.50742208410481,0.369094211857377,1.64880671185738
2.96677954188529,-2.36909421185738,2.91587450968565,-2.50742208410481,0.457937254842823,1.70764975484282
2.96792762185245,-2.27484797949738,3.08205297110316,-2.50742208410481,0.541026485551579,1.76153898555158
2.96895833017687,-2.17557050458495,3.23606797749979,-2.50742208410481,0.618033988749895,1.81014648874989
2.96987644509995,-2.07165358995799,3.37731170200806,-2.50742208410481,0.68865585100403,1.85316835100403
2.97068629223646,-1.96350734820343,3.50522672017545,-2.50742208410481,0.752613360087727,1.89032586008773
2.9713917438018,-1.85155858313015,3.61930820986408,-2.50742208410481,0.809654104932039,1.92136660493204
2.97199621794142,-1.73624910536936,3.71910594355301,-2.50742208410481,0.859552971776503,1.9460654717765
2.97250267815547,-1.61803398874989,3.80422606518061,-2.50742208410481,0.902113032590307,1.96422553259031
2.97291363281247,-1.49737977432971,3.87433264451452,-2.50742208410481,0.937166322257262,1.97567882225726
2.97323113474688,-1.37476262917145,3.92914900291475,-2.50742208410481,0.964574501457377,1.98028700145738
2.97345678093587,-1.25066646712861,3.96845880525791,-2.50742208410481,0.984229402628956,1.97794190262896
2.97359171225179,-1.12558103905863,3.99210691371309,-2.50742208410481,0.996053456856543,1.96856595685654
2.9736366132874,-1,4,-2.50742208410481,1,1.9521125
2.97359171225179,-0.874418960941373,3.99210691371309,-2.50742208410481,0.996053456856543,1.92856595685654
2.97345678093587,-0.749333532871391,3.96845880525791,-2.50742208410481,0.984229402628956,1.89794190262896
2.97323113474688,-0.62523737082855,3.92914900291475,-2.50742208410481,0.964574501457377,1.86028700145738
2.97291363281247,-0.50262022567029,3.87433264451452,-2.50742208410481,0.937166322257262,1.81567882225726
2.97250267815547,-0.381966011250105,3.80422606518061,-2.50742208410481,0.902113032590307,1.76422553259031
2.97199621794142,-0.263750894630643,3.71910594355301,-2.50742208410481,0.859552971776503,1.7060654717765
2.9713917438018,-0.148441416869854,3.61930820986408,-2.50742208410481,0.809654104932039,1.64136660493204
2.97068629223646,-0.03649265179657,3.50522672017545,-2.50742208410481,0.752613360087727,1.57032586008773
2.96987644509995,0.0716535899579929,3.37731170200806,-2.50742208410481,0.68865585100403,1.49316835100403
2.96895833017687,0.175570504584946,3.23606797749979,-2.50742208410481,0.618033988749895,1.41014648874989
2.96792762185245,0.274847979497379,3.08205297110316,-2.50742208410481,0.541026485551579,1.32153898555158
2.96677954188529,0.369094211857377,2.91587450968565,-2.50742208410481,0.457937254842823,1.22764975484282
2.96550886028992,0.457937254842823,2.73818842371475,-2.50742208410481,0.369094211857377,1.12880671185738
2.96410989633775,0.541026485551579,2.54969595899476,-2.50742208410481,0.274847979497379,1.02536047949738
2.96257651968582,0.618033988749895,2.35114100916989,-2.50742208410481,0.175570504584946,0.917683004584946
2.96090215164331,0.68865585100403,2.14330717991599,-2.50742208410481,0.0716535899579933,0.806166089957993
2.95907976658694,0.752613360087727,1.92701469640686,-2.50742208410481,-0.0364926517965696,0.69121984820343
2.95710189353677,0.809654104932039,1.70311716626029,-2.50742208410481,-0.148441416869855,0.573271083130145
2.95496061790514,0.859552971776503,1.47249821073871,-2.50742208410481,-0.263750894630645,0.452761605369355
2.9526475834317,0.902113032590307,1.23606797749979,-2.50742208410481,-0.381966011250106,0.330146488749894
2.95015399431897,0.937166322257262,0.99475954865942,-2.50742208410481,-0.50262022567029,0.20589227432971
2.94747061758288,0.964574501457377,0.7495252583429,-2.50742208410481,-0.62523737082855,0.0804751291714498
2.94458778563409,0.984229402628956,0.501332934257218,-2.50742208410481,-0.749333532871391,-0.045621032871391
2.94149539910628,0.996053456856543,0.251162078117254,-2.50742208410481,-0.874418960941373,-0.171906460941373
2.93818292994851,1,2.44929359829471e-16,-2.50742208410481,-1,-0.2978875
2.93463942479939,0.996053456856543,-0.251162078117254,-2.50742208410481,-1.12558103905863,-0.423068539058627
2.93085350866159,0.984229402628956,-0.501332934257217,-2.50742208410481,-1.25066646712861,-0.546953967128609
2.92681338889572,0.964574501457377,-0.749525258342899,-2.50742208410481,-1.37476262917145,-0.66905012917145
2.92250685955367,0.937166322257262,-0.994759548659419,-2.50742208410481,-1.49737977432971,-0.78886727432971
2.92471780996241,-2.8595529717765,-1.47249821073871,-2.71448115739806,-1.73624910536936,0.167950894630644
2.92925563850656,-2.90211303259031,-1.23606797749979,-2.71448115739806,-1.61803398874989,0.241766011250106
2.93351205132634,-2.93716632225726,-0.994759548659419,-2.71448115739806,-1.49737977432971,0.318820225670291
2.93750013178371,-2.96457450145738,-0.749525258342899,-2.71448115739806,-1.37476262917145,0.398637370828551
2.94123255514637,-2.98422940262896,-0.501332934257217,-2.71448115739806,-1.25066646712861,0.480733532871392
2.94472158375094,-2.99605345685654,-0.251162078117254,-2.71448115739806,-1.12558103905863,0.564618960941373
2.9479790625397,-3,2.44929359829471e-16,-2.71448115739806,-1,0.6498
2.95101641494983,-2.99605345685654,0.251162078117254,-2.71448115739806,-0.874418960941373,0.735781039058627
2.9538446391343,-2.98422940262896,0.501332934257218,-2.71448115739806,-0.749333532871391,0.822066467128609
2.95647430449454,-2.96457450145738,0.7495252583429,-2.71448115739806,-0.62523737082855,0.90816262917145
2.95891554850561,-2.93716632225726,0.994759548659419,-2.71448115739806,-0.502620225670291,0.99357977432971
2.96117807381517,-2.90211303259031,1.23606797749979,-2.71448115739806,-0.381966011250105,1.0778339887499
2.9632711455986,-2.8595529717765,1.47249821073871,-2.71448115739806,-0.263750894630644,1.16044910536936
2.96520358915294,-2.80965410493204,1.70311716626029,-2.71448115739806,-0.148441416869855,1.24095858313015
2.96698378771336,-2.75261336008773,1.92701469640686,-2.71448115739806,-0.0364926517965692,1.31890734820343
2.96861968047658,-2.68865585100403,2.14330717991599,-2.71448115739806,0.0716535899579935,1.39385358995799
2.97011876081619,-2.61803398874989,2.35114100916989,-2.71448115739806,0.175570504584947,1.46537050458495
2.97148807467601,-2.54102648555158,2.54969595899476,-2.71448115739806,0.274847979497379,1.53304797949738
2.97273421912797,-2.45793725484282,2.73818842371475,-2.71448115739806,0.369094211857377,1.59649421185738
2.97386334108203,-2.36909421185738,2.91587450968565,-2.71448115739806,0.457937254842823,1.65533725484282
2.97488113613642,-2.27484797949738,3.08205297110316,-2.71448115739806,0.541026485551579,1.70922648555158
2.97579284755721,-2.17557050458495,3.23606797749979,-2.71448115739806,0.618033988749895,1.7578339887499
2.97660326537701,-2.07165358995799,3.37731170200806,-2.71448115739806,0.68865585100403,1.80085585100403
2.97731672560355,-1.96350734820343,3.50522672017545,-2.71448115739806,0.752613360087727,1.83801336008773
2.9779371095294,-1.85155858313015,3.61930820986408,-2.71448115739806,0.809654104932039,1.86905410493204
2.9784678431353,-1.73624910536936,3.71910594355301,-2.71448115739806,0.859552971776503,1.8937529717765
2.97891189657996,-1.61803398874989,3.80422606518061,-2.71448115739806,0.902113032590307,1.91191303259031
2.97927178377033,-1.49737977432971,3.87433264451452,-2.71448115739806,0.937166322257262,1.92336632225726
2.979549562007,-1.37476262917145,3.92914900291475,-2.71448115739806,0.964574501457377,1.92797450145738
2.97974683170014,-1.25066646712861,3.96845880525791,-2.71448115739806,0.984229402628956,1.92562940262896
2.97986473615251,-1.12558103905863,3.99210691371309,-2.71448115739806,0.996053456856543,1.91625345685654
2.97990396140636,-1,4,-2.71448115739806,1,1.8998
2.97986473615251,-0.874418960941373,3.99210691371309,-2.71448115739806,0.996053456856543,1.87625345685654
2.97974683170014,-0.749333532871391,3.96845880525791,-2.71448115739806,0.984229402628956,1.84562940262896
2.979549562007,-0.62523737082855,3.92914900291475,-2.71448115739806,0.964574501457377,1.80797450145738
2.97927178377033,-0.50262022567029,3.87433264451452,-2.71448115739806,0.937166322257262,1.76336632225726
2.97891189657996,-0.381966011250105,3.80422606518061,-2.71448115739806,0.902113032590307,1.71191303259031
